layer,accuracy,f1,jaccard
0,0.49446432056202433,0.20173165021875475,0.1352982245904366
1,0.5037403239445781,0.20831428469458846,0.13884493301639333
2,0.5168151954725818,0.20991810283210707,0.14178525099611444
3,0.526039159565472,0.26056175176287405,0.1720428225307752
4,0.537852078319131,0.2795982198675782,0.18554487743331352
5,0.5365641058999545,0.2669508573469019,0.178701915708357
6,0.5404410329798999,0.27005468824567763,0.18105047660194237
7,0.5234502049047031,0.2525308300950197,0.1685881728715665
8,0.5401938463539973,0.30823534510862516,0.20253522155798712
9,0.5502374292590906,0.3236628530776976,0.21368703931899044
10,0.5415728875300853,0.32972675147982106,0.2163233491951793
11,0.5272490730501529,0.28842005640082224,0.18869983658806225
12,0.5138489559617512,0.2894280873490433,0.18747603397431892
