layer,accuracy_mean,accuracy_std,f1_mean,f1_std,jaccard_mean,jaccard_std,best_lr_per_fold,best_wd_per_fold
0,0.5013576849487469,0.031069402455705043,0.1698434463840146,0.015575855228197637,0.11786725440325845,0.013768721948283415,0.005;0.005;0.005;0.001;0.005,0.01;0.1;0.01;0.1;0.4
1,0.5095701525652307,0.03205889216858417,0.20183440329287436,0.020042104537566763,0.13685629023275014,0.01565996792391665,0.005;0.005;0.005;0.005;0.005,0.8;0.1;0.01;0.8;0.1
2,0.5315555874073201,0.0400187774160096,0.25747369568517875,0.034615296489778125,0.17209630188915925,0.026449823922662204,0.005;0.005;0.005;0.005;0.005,0.01;0.4;0.01;0.01;0.01
3,0.5440388405110903,0.03171971732011529,0.28496537019876,0.022374238173700163,0.18982241819595153,0.017464858638758154,0.005;0.005;0.005;0.005;0.005,0.1;0.01;0.01;0.01;0.01
4,0.5485877580596137,0.03260645536515253,0.2953557217975876,0.02888957266059726,0.19680291883806852,0.0218249188083956,0.005;0.005;0.005;0.005;0.005,0.01;0.01;0.01;0.1;0.01
5,0.5494415207233037,0.03686696610822059,0.3078445977555127,0.03082636665380128,0.20440147074532708,0.02345370052338275,0.005;0.005;0.005;0.005;0.005,0.01;0.01;0.1;0.01;0.01
6,0.5550030386564472,0.026483288744070285,0.3032590376383816,0.0445773066010811,0.2021503950071446,0.030185475060304084,0.005;0.005;0.005;0.005;0.005,0.01;0.8;0.01;0.01;0.01
7,0.5559674615977874,0.0250605441928436,0.3216615318017034,0.017029960320240713,0.2131726881379017,0.013737352726500065,0.005;0.005;0.005;0.005;0.005,0.01;0.1;0.01;0.01;0.01
8,0.5460310834640436,0.02306830040122045,0.3091370492101647,0.01590588016975602,0.20426108256915604,0.012796684297881902,0.005;0.005;0.005;0.005;0.005,0.01;0.1;0.01;0.1;0.01
9,0.5438762094241317,0.02254208749513993,0.2955751088109588,0.023603714486937877,0.19577617158585497,0.017049908016217943,0.005;0.005;0.005;0.005;0.005,0.01;0.4;0.01;0.01;0.1
10,0.5412466522039947,0.025187702212209024,0.2908121695636564,0.04063881309399818,0.1922621767222848,0.026710610311794305,0.005;0.003;0.005;0.005;0.005,0.01;0.8;0.01;0.01;0.01
11,0.5408137614557965,0.020856384089301735,0.27326811223500574,0.0634329557013699,0.18203252597795114,0.038447233320026836,0.005;0.0001;0.005;0.005;0.005,0.01;0.01;0.01;0.1;0.1
12,0.5226728205162139,0.020625308601936176,0.25060451830111086,0.05451183914566173,0.16625760917975663,0.032938973001577124,0.005;0.0001;0.005;0.003;0.005,0.01;0.8;0.01;0.01;0.01
